canal_section	surveyors	tree_number	species	number_of_trees	height_metres	diameter_centimetres	w3w_url	gmaps_url	condition	action	survey_limitation	photo_1	photo_2	photo_3	photo_4
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-075	Deciduous	1	12.0	70.0	"=HYPERLINK(""https://what3words.com/pyramid.mule.reinstate"",""pyramid.mule.reinstate"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775787%2C-2.34462"",""(51.775787, -2.34462)"")"	"

Very hollowed all the way up"	"
Needs removing"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-075-deciduous-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-075-deciduous-additional_photo_1.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"		
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-076	Sycamore	1	13.0	25.0	"=HYPERLINK(""https://what3words.com/error.bandwagon.walnuts"",""error.bandwagon.walnuts"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775681%2C-2.34466"",""(51.775681, -2.34466)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-077	Sycamore	1	18.0	50.0	"=HYPERLINK(""https://what3words.com/fidgeting.duration.foremost"",""fidgeting.duration.foremost"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775739%2C-2.344625"",""(51.775739, -2.344625)"")"	"

Low dead branch overhanging River"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-077-sycamore-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-078	Ash	1	18.0	80.0	"=HYPERLINK(""https://what3words.com/huddling.craftsmen.wounds"",""huddling.craftsmen.wounds"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775692%2C-2.344583"",""(51.775692, -2.344583)"")"	"Class 2 - 75% to 50%

Hollowed trunk at base"	"Second opinion from Arboriculturalist
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-078-ash-general_photo.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-078-ash-condition.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"		
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-079	Ash	1	25.0	45.0	"=HYPERLINK(""https://what3words.com/gets.basic.assurance"",""gets.basic.assurance"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775714%2C-2.344589"",""(51.775714, -2.344589)"")"	"Class 1 - 100% to 75%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-079-ash-general_photo.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-080	Hawthorn	1	8.0	20.0	"=HYPERLINK(""https://what3words.com/hillside.motivator.bliss"",""hillside.motivator.bliss"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77568%2C-2.344549"",""(51.77568, -2.344549)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-081	Deciduous	1	5.0		"=HYPERLINK(""https://what3words.com/cost.champions.tadpoles"",""cost.champions.tadpoles"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775679%2C-2.344511"",""(51.775679, -2.344511)"")"	"
Tree is dead
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-081-deciduous-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-082	Hawthorn	5	8.0	12.0	"=HYPERLINK(""https://what3words.com/cost.champions.tadpoles"",""cost.champions.tadpoles"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775661%2C-2.344526"",""(51.775661, -2.344526)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-083	Ash	1	15.0	28.0	"=HYPERLINK(""https://what3words.com/defenders.blogging.quote"",""defenders.blogging.quote"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775629%2C-2.344427"",""(51.775629, -2.344427)"")"	"Class 1 - 100% to 75%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-083-ash-general_photo.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-084	Sycamore	1	12.0	25.0	"=HYPERLINK(""https://what3words.com/latter.dollars.regret"",""latter.dollars.regret"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775612%2C-2.344403"",""(51.775612, -2.344403)"")"	"

Dead stem"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"04/11/2021
Chris Shaw,Keith Tibbitts"	WHL-085	Ash	1	22.0	80.0	"=HYPERLINK(""https://what3words.com/slope.alley.arch"",""slope.alley.arch"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775621%2C-2.344401"",""(51.775621, -2.344401)"")"	"Class 2 - 75% to 50%

Bracket fungus half way up trunk
Lost a lot of branches
Overhanging River"	"Second opinion from Arboriculturalist
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-085-ash-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-085-ash-general_photo.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-085-ash-additional_photo_1.jpg"",""Photo 3"")"",""Photo 3"")"",""Photo 3"")"",""Photo 3"")"	
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-086	Deciduous	1	8.0	20.0	"=HYPERLINK(""https://what3words.com/slope.alley.arch"",""slope.alley.arch"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775635%2C-2.344458"",""(51.775635, -2.344458)"")"	"
Tree is dead
"	"Second opinion from Arboriculturalist
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-086-deciduous-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-087	Hawthorn	7	6.0	10.0	"=HYPERLINK(""https://what3words.com/remarried.buddy.spend"",""remarried.buddy.spend"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775574%2C-2.344404"",""(51.775574, -2.344404)"")"	"
Lots of ivy in crown
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-087-hawthorn-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-088	Ash	1	10.0	30.0	"=HYPERLINK(""https://what3words.com/truffles.cleansed.digit"",""truffles.cleansed.digit"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775479%2C-2.344193"",""(51.775479, -2.344193)"")"	"Class 1 - 100% to 75%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-088-ash-general_photo.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-088-ash-additional_photo_1.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"		
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-089	Oak	1	15.0	40.0	"=HYPERLINK(""https://what3words.com/modes.arranges.ruby"",""modes.arranges.ruby"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775489%2C-2.344277"",""(51.775489, -2.344277)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-090	Ash	1	5.0	10.0	"=HYPERLINK(""https://what3words.com/cemented.abacus.badminton"",""cemented.abacus.badminton"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775445%2C-2.344206"",""(51.775445, -2.344206)"")"	"Class 2 - 75% to 50%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-090-ash-general_photo.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-091	Deciduous	3	8.0	20.0	"=HYPERLINK(""https://what3words.com/dozed.flux.acrobatic"",""dozed.flux.acrobatic"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775426%2C-2.344143"",""(51.775426, -2.344143)"")"	"
Tree is dead
"	"Second opinion from Arboriculturalist
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-092	Alder	1	10.0	20.0	"=HYPERLINK(""https://what3words.com/menswear.slept.living"",""menswear.slept.living"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775428%2C-2.34411"",""(51.775428, -2.34411)"")"	"
Lots of ivy in crown
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-092-alder-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-093	Ash	1	20.0	30.0	"=HYPERLINK(""https://what3words.com/train.firewall.inherit"",""train.firewall.inherit"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77539%2C-2.344022"",""(51.77539, -2.344022)"")"	"Class 1 - 100% to 75%
Lots of ivy in crown
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-093-ash-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-093-ash-general_photo.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"		
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-094	Sycamore	1	20.0	29.0	"=HYPERLINK(""https://what3words.com/micro.partners.musical"",""micro.partners.musical"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775331%2C-2.34401"",""(51.775331, -2.34401)"")"	"

"	"
"	Other				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-095	Alder	1	20.0	50.0	"=HYPERLINK(""https://what3words.com/goofy.index.vented"",""goofy.index.vented"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775346%2C-2.343853"",""(51.775346, -2.343853)"")"	"
Leaning over tow path or river
"	"Second opinion from Arboriculturalist
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-095-alder-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-096	Ash	1	20.0		"=HYPERLINK(""https://what3words.com/instant.thousands.competent"",""instant.thousands.competent"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775277%2C-2.343933"",""(51.775277, -2.343933)"")"	"Class 2 - 75% to 50%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-096-ash-general_photo.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-097	Sycamore	1	8.0	20.0	"=HYPERLINK(""https://what3words.com/harmlessly.afternoon.snooping"",""harmlessly.afternoon.snooping"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775239%2C-2.343896"",""(51.775239, -2.343896)"")"	"
Lots of ivy in crown
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-097-sycamore-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-098	Ash	1	20.0	32.0	"=HYPERLINK(""https://what3words.com/printers.winners.satellite"",""printers.winners.satellite"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775278%2C-2.343852"",""(51.775278, -2.343852)"")"	"Class 1 - 100% to 75%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-098-ash-general_photo.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-099	Alder	1	8.0	10.0	"=HYPERLINK(""https://what3words.com/mush.pads.verdict"",""mush.pads.verdict"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775285%2C-2.343897"",""(51.775285, -2.343897)"")"	"
Leaning over tow path or river
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-099-alder-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-100	Sycamore	1	18.0	40.0	"=HYPERLINK(""https://what3words.com/printers.winners.satellite"",""printers.winners.satellite"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775255%2C-2.343841"",""(51.775255, -2.343841)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-101	Sycamore	1	8.0	10.0	"=HYPERLINK(""https://what3words.com/squeezed.stiff.replying"",""squeezed.stiff.replying"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775291%2C-2.34382"",""(51.775291, -2.34382)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-102	Sycamore	4	20.0	50.0	"=HYPERLINK(""https://what3words.com/charts.grouping.included"",""charts.grouping.included"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775201%2C-2.343811"",""(51.775201, -2.343811)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-103	Ash	1	20.0	60.0	"=HYPERLINK(""https://what3words.com/rewarded.enthused.desk"",""rewarded.enthused.desk"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775135%2C-2.34379"",""(51.775135, -2.34379)"")"	"Class 1 - 100% to 75%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-103-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-103-ash-general_photo.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"		
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-104	Alder	4	8.0	10.0	"=HYPERLINK(""https://what3words.com/monday.huddle.factored"",""monday.huddle.factored"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775051%2C-2.343761"",""(51.775051, -2.343761)"")"	"
Lots of ivy in crown
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-104-alder-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-105	Ash	2	15.0	46.0	"=HYPERLINK(""https://what3words.com/landed.relishing.appealing"",""landed.relishing.appealing"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775121%2C-2.343718"",""(51.775121, -2.343718)"")"	"Class 2 - 75% to 50%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-105-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-105-ash-general_photo.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"		
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-106	Elm	2	10.0	8.0	"=HYPERLINK(""https://what3words.com/iterative.supplied.sediment"",""iterative.supplied.sediment"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775129%2C-2.343653"",""(51.775129, -2.343653)"")"	"
Leaning over tow path or river
"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-106-elm-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-107	Sycamore	1	20.0	50.0	"=HYPERLINK(""https://what3words.com/curry.expecting.decoder"",""curry.expecting.decoder"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775052%2C-2.343615"",""(51.775052, -2.343615)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-108	Sycamore	1	8.0	10.0	"=HYPERLINK(""https://what3words.com/wimp.purchaser.pints"",""wimp.purchaser.pints"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775041%2C-2.343547"",""(51.775041, -2.343547)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-109	Ash	1	15.0	40.0	"=HYPERLINK(""https://what3words.com/music.crank.trips"",""music.crank.trips"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.775021%2C-2.343486"",""(51.775021, -2.343486)"")"	"Class 2 - 75% to 50%
Leaning over tow path or river
"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-109-ash-additional_photo_2.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-109-ash-additional_photo_1.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-109-ash-condition.jpg"",""Photo 3"")"",""Photo 3"")"",""Photo 3"")"",""Photo 3"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-109-ash-general_photo.jpg"",""Photo 4"")"",""Photo 4"")"",""Photo 4"")"",""Photo 4"")"
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-110	Sycamore	4	10.0	40.0	"=HYPERLINK(""https://what3words.com/item.doors.moderated"",""item.doors.moderated"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.774948%2C-2.343414"",""(51.774948, -2.343414)"")"	"

"	"
"	No				
2 – Whitminster Lock to Canal/Frome Junction	"09/11/2021
Keith Tibbitts,Angeline Cobie"	WHL-111	Ash	1	60.0	60.0	"=HYPERLINK(""https://what3words.com/item.doors.moderated"",""item.doors.moderated"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77495%2C-2.343438"",""(51.77495, -2.343438)"")"	"Class 1 - 100% to 75%

"	"Second opinion from Arboriculturalist
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-111-ash-additional_photo_2.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-111-ash-general_photo.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-111-ash-additional_photo_1.jpg"",""Photo 3"")"",""Photo 3"")"",""Photo 3"")"",""Photo 3"")"	
